"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"43",17,11,8,14,16,13,16,17,18,19,24,14,22,19,17,24,22,18,19,14,18,16,23,16,18,14,22,13,16,29,11,17,15,11,14,22,19,17,15,14,21,16,20,23,13,24,15,14,17,20,23,20,19,14,23,13,19,12,12,17,15,14,13,7,19,17,14,16,16,19,20,10,18,16,21,21,15,11,19,21,14,19,12,26,17,13,16,12,16,20,16,20,16,19,18,16,13,16,13,16
"44",17,12,9,14,17,13,15,16,18,19,26,14,23,19,16,25,20,18,17,14,19,16,21,16,20,15,23,12,18,30,13,15,14,10,12,23,19,19,15,14,22,17,21,23,12,24,15,14,17,21,23,23,19,13,23,14,20,11,13,17,15,14,13,7,19,18,13,15,15,18,20,10,18,17,20,21,15,11,18,22,14,17,13,23,19,13,16,11,15,21,17,21,17,19,18,18,13,16,13,18
"45",15,12,9,15,17,14,15,16,17,17,26,14,23,20,14,26,21,18,17,14,18,15,20,17,20,15,22,13,19,30,11,15,15,10,11,23,19,20,13,14,21,16,21,22,13,23,15,15,17,22,22,23,21,13,23,16,20,11,12,19,14,14,13,7,19,18,12,15,15,17,21,11,19,17,21,21,15,11,18,22,15,15,14,23,20,15,16,12,11,19,18,20,17,18,17,17,12,16,12,20
"46",16,11,9,15,18,15,15,16,18,16,25,16,22,19,13,26,22,17,17,15,19,13,22,16,21,17,21,14,19,30,12,15,14,9,11,23,19,20,15,14,21,16,20,23,12,24,14,15,17,21,21,25,21,13,23,16,21,11,11,17,14,13,14,6,18,18,14,15,16,18,21,10,19,17,20,20,15,12,18,22,15,15,14,23,21,15,16,14,10,19,17,19,15,18,16,17,16,16,12,19
"47",17,11,9,13,18,15,14,17,19,14,23,18,22,19,12,25,22,18,17,16,19,12,22,17,21,16,21,13,19,29,13,14,14,9,12,23,19,20,15,15,20,16,20,24,13,23,13,15,16,21,20,25,20,12,23,15,22,12,12,18,14,12,15,6,19,19,13,15,16,18,19,11,19,18,21,20,15,11,18,22,18,13,14,23,20,15,16,14,9,19,16,19,16,18,16,18,16,15,13,18
"48",16,10,7,13,17,18,14,16,18,16,22,18,22,19,13,27,21,17,17,16,19,12,21,17,20,16,19,13,20,31,13,14,13,9,11,25,20,20,15,15,19,18,19,25,13,24,13,16,16,20,20,25,21,12,23,15,23,13,12,18,15,12,15,5,17,19,12,15,17,17,21,12,19,18,22,20,17,12,17,23,18,14,16,22,18,15,17,13,9,18,17,20,16,17,15,18,17,13,13,17
"49",16,10,9,14,16,17,13,16,18,15,22,18,21,19,12,27,20,17,16,16,17,12,19,17,20,16,19,13,20,29,13,15,13,7,10,26,19,20,14,15,20,19,20,24,12,24,16,14,17,18,19,25,20,12,23,14,21,13,12,17,15,13,14,5,17,20,11,14,18,17,20,12,19,18,21,20,19,11,16,23,18,13,16,21,18,13,18,12,9,18,17,19,16,16,15,18,17,12,13,16
"50",16,8,9,14,15,16,13,16,19,17,21,18,21,19,13,24,19,17,16,16,16,13,17,15,20,16,18,13,19,28,13,15,13,7,10,25,19,22,14,13,20,18,19,23,12,24,16,13,18,18,19,24,20,11,23,14,20,15,12,18,15,13,12,4,17,20,12,16,16,16,21,14,20,20,22,20,18,10,16,23,17,13,16,20,18,13,18,12,10,18,18,19,17,16,15,19,17,12,13,16
"51",16,8,10,15,16,15,13,16,19,19,20,18,21,17,13,24,19,18,15,17,17,13,17,14,19,17,18,13,20,29,12,15,13,8,11,23,17,22,16,14,20,19,19,21,13,25,17,12,18,18,19,22,19,11,22,15,19,16,13,18,16,14,10,5,15,23,12,16,18,18,22,14,18,19,22,20,17,9,16,23,16,13,17,21,18,13,19,12,10,18,16,21,17,16,15,19,15,11,13,14
"52",16,8,10,14,17,14,12,17,19,21,21,18,20,17,14,24,19,18,16,17,18,13,19,16,20,17,16,13,19,29,13,15,14,8,12,23,17,22,16,15,20,19,20,19,12,26,16,10,16,18,19,21,20,12,21,15,19,17,13,19,16,14,9,5,15,23,14,16,18,18,22,15,18,19,20,21,17,8,16,22,17,14,17,22,18,13,16,12,10,18,16,21,18,17,15,19,17,9,14,13
