"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"65",29,21,23,23,22,22,26,31,16,18,21,13,25,23,17,22,23,14,13,13,20,22,18,18,19,37,22,25,10,21,16,21,25,19,13,27,21,13,19,11,24,19,16,21,23,20,23,20,23,20,17,24,21,22,26,25,23,23,27,28,20,30,17,19,19,18,18,27,25,22,34,15,23,17,19,25,21,17,18,22,18,23,32,13,27,17,19,27,21,25,27,26,19,18,20,24,21,29,20,15
"66",28,19,23,23,20,23,27,33,15,22,22,13,26,24,17,23,23,14,14,13,19,22,16,17,20,37,22,27,9,22,13,21,24,19,14,26,22,14,20,12,24,19,17,21,26,18,23,19,22,20,17,25,21,18,25,30,23,23,27,28,22,30,17,17,18,17,19,30,25,21,34,17,24,18,18,24,23,16,19,22,19,23,31,12,29,17,19,27,21,25,26,26,18,19,20,23,21,29,19,16
"67",26,20,22,23,19,23,24,33,15,23,22,13,29,28,17,26,23,15,15,16,21,24,19,18,22,37,23,24,9,21,14,22,23,17,14,27,22,16,19,12,26,21,18,20,22,18,22,19,18,20,18,25,22,17,24,31,24,24,28,29,22,29,17,17,20,16,19,29,26,21,36,17,23,21,18,25,23,15,21,22,20,23,32,13,31,18,20,27,22,24,26,27,20,20,19,23,22,29,20,16
"68",26,18,22,22,19,24,25,31,15,23,22,13,27,26,19,28,23,16,15,16,21,26,20,18,22,38,23,24,12,21,14,25,22,17,17,27,23,17,19,11,26,21,18,21,21,19,21,19,20,21,17,27,26,18,25,31,24,25,27,29,21,31,17,17,20,17,20,31,27,22,36,19,24,21,18,25,23,17,23,21,19,26,29,16,32,19,19,26,23,24,27,28,20,23,20,22,20,29,19,16
"69",26,18,25,22,21,23,23,31,16,23,24,13,30,25,18,27,22,18,15,18,21,26,20,19,21,40,25,25,13,23,14,24,25,18,16,25,23,16,21,10,28,21,18,20,20,20,21,20,20,21,17,26,26,20,26,31,24,27,29,31,22,31,17,18,22,18,19,31,26,21,37,18,24,21,19,24,24,18,21,21,19,25,31,18,32,18,19,25,23,24,27,28,22,23,20,23,24,29,20,16
"70",26,18,25,21,22,23,19,29,17,24,24,14,29,28,18,28,22,20,14,18,22,26,22,21,22,40,23,25,13,24,15,27,26,18,17,24,22,17,18,10,30,22,21,21,22,21,21,20,20,20,18,26,26,19,26,32,25,27,28,32,24,31,17,18,23,18,18,30,25,24,38,19,23,23,19,26,26,17,19,21,21,25,32,17,31,18,20,23,22,27,29,28,24,24,18,24,24,30,22,17
"71",28,19,23,22,21,23,20,29,16,25,24,13,30,28,20,28,23,19,14,20,22,25,25,20,23,41,23,25,14,23,15,25,27,22,17,26,22,16,18,12,27,23,24,22,24,20,22,18,20,20,19,25,26,20,28,31,25,29,25,31,24,30,15,18,23,23,18,30,26,21,38,19,23,23,21,25,27,16,19,23,21,24,33,17,31,18,25,25,22,28,29,26,25,24,19,22,25,29,23,17
"72",29,21,24,20,22,23,18,27,15,29,25,14,31,29,23,29,21,19,14,19,21,23,24,20,24,41,24,24,16,24,16,25,27,21,18,27,21,17,18,12,24,22,25,22,23,22,21,19,21,18,21,24,29,21,26,34,25,28,24,30,22,30,16,19,23,25,20,29,29,22,40,22,24,22,24,26,25,17,19,24,22,23,33,17,30,18,24,25,24,29,28,30,24,24,21,22,24,31,22,17
"73",28,21,24,19,22,23,18,29,15,30,25,14,32,29,22,29,21,20,15,19,21,23,24,21,24,42,25,22,16,22,16,25,25,22,16,27,23,17,22,13,25,23,25,25,26,24,19,19,22,19,21,24,28,20,24,35,25,27,26,32,23,32,15,21,23,23,21,28,31,22,39,23,25,22,25,25,24,20,20,25,25,24,32,18,29,19,24,24,24,30,29,30,25,26,21,22,26,32,23,17
"74",26,23,22,19,25,23,20,27,15,28,24,15,33,30,21,29,23,20,17,22,21,25,25,22,25,41,27,22,14,22,16,27,24,21,17,26,22,18,24,14,25,23,25,26,27,23,20,17,22,19,21,25,31,22,25,37,25,26,29,33,22,34,17,20,24,23,21,27,28,24,39,24,26,22,24,25,26,25,18,26,24,24,34,17,30,18,24,27,23,32,29,30,25,27,21,20,28,31,23,17
"75",25,24,21,21,24,25,19,27,16,29,25,15,34,31,21,30,23,20,18,22,23,27,23,21,24,41,25,21,14,22,17,25,26,21,17,25,21,19,23,14,23,24,25,28,28,24,21,17,22,19,24,25,31,22,26,38,24,25,27,33,22,34,16,20,25,24,22,26,27,27,40,24,28,22,24,27,28,22,20,27,23,27,33,18,31,17,24,30,24,31,28,31,26,27,21,22,30,32,22,17
"76",25,25,20,21,26,27,20,30,17,30,28,15,32,30,24,33,23,23,19,22,24,27,23,21,27,42,24,21,15,22,18,24,26,22,17,27,22,19,23,15,26,24,24,35,28,22,20,17,21,21,25,27,30,22,28,39,26,27,28,33,24,36,18,18,28,25,22,26,27,26,41,26,28,25,24,26,27,20,22,28,22,27,35,16,31,18,23,31,26,32,28,33,26,26,21,23,31,31,21,20
"77",27,28,20,23,26,30,23,31,18,31,29,16,32,30,25,33,24,23,14,21,27,28,24,22,31,45,25,18,16,24,18,25,25,20,16,28,22,20,26,17,25,21,27,36,31,19,19,19,21,21,26,32,30,22,27,39,24,25,28,32,25,34,19,19,29,25,24,26,26,26,41,25,28,27,26,25,29,20,23,30,22,28,34,18,32,19,23,31,25,33,31,35,28,26,21,24,30,33,23,21
"78",29,29,20,24,26,28,23,29,18,31,29,16,34,29,26,34,24,24,13,20,26,29,24,22,29,44,29,21,17,24,18,28,26,20,18,29,21,21,27,18,27,20,26,35,30,19,21,20,22,26,26,32,31,22,27,37,24,25,30,35,26,36,19,20,29,25,28,27,28,26,46,26,28,27,24,24,30,22,24,30,21,28,35,18,35,18,25,32,26,35,33,39,30,26,21,26,31,32,23,20
"79",32,29,22,23,25,28,23,29,19,28,27,17,34,28,26,37,28,25,14,20,23,31,26,23,30,46,29,23,17,23,18,27,25,23,18,31,22,18,27,18,26,21,25,34,32,17,20,19,22,27,28,32,30,25,27,36,25,28,30,33,26,31,20,20,29,24,29,29,27,25,46,25,29,30,22,24,30,23,22,32,21,28,35,20,36,18,25,35,28,35,31,39,29,27,22,24,31,33,24,21
"80",34,32,21,27,28,29,22,30,20,27,26,18,33,29,26,38,28,25,14,20,23,32,26,24,32,47,29,21,18,24,18,28,25,28,17,31,24,19,28,18,26,22,27,34,30,18,20,22,26,29,28,33,32,23,29,39,24,29,32,32,28,31,23,20,27,25,30,30,28,28,45,24,30,31,21,25,37,24,21,33,21,29,34,19,36,20,25,37,28,37,30,39,32,28,24,21,29,34,24,22
"81",36,35,21,27,26,26,24,30,19,29,25,19,33,27,29,40,29,26,15,19,23,33,30,25,33,53,31,24,18,25,20,28,27,31,15,31,28,20,26,19,29,22,29,34,30,17,19,23,24,31,28,36,33,23,32,42,24,29,33,36,29,33,23,21,29,27,30,29,27,28,45,23,30,30,27,26,37,25,22,34,24,32,34,19,38,19,26,37,28,37,30,37,33,29,24,23,28,36,25,22
"82",33,33,23,28,26,25,26,31,20,29,24,20,32,30,30,39,28,25,16,19,23,31,30,25,34,50,32,22,20,26,20,29,27,31,15,30,28,19,28,18,30,21,30,34,30,16,21,24,26,32,32,38,35,24,31,42,24,27,34,35,28,33,24,21,28,29,31,27,28,25,47,24,29,29,26,27,36,25,24,37,23,31,33,19,38,21,28,36,31,38,31,36,34,28,24,23,28,38,30,22
"83",33,33,24,28,25,23,27,31,21,28,23,20,34,28,33,38,26,25,17,20,24,33,31,28,36,49,32,21,22,26,22,31,26,32,17,32,27,20,30,16,30,22,27,34,30,16,22,25,29,32,33,37,34,26,28,41,24,29,34,34,30,34,25,20,28,32,31,28,27,24,48,24,34,30,27,24,38,26,24,34,24,28,33,17,38,23,27,36,32,39,31,36,32,30,25,22,29,38,32,24
"84",35,35,24,29,24,24,27,32,20,26,22,21,37,29,32,38,27,26,18,19,24,31,31,28,37,46,32,22,20,28,20,32,29,32,18,32,27,19,30,18,31,22,28,34,31,17,22,27,27,31,32,37,36,27,31,39,25,33,32,35,26,36,25,20,33,31,31,31,29,25,51,27,35,29,28,23,39,26,26,37,26,27,34,17,38,23,25,37,33,41,33,34,33,31,25,22,28,40,33,28
"85",36,34,27,29,23,29,29,32,22,26,23,22,37,32,32,40,30,28,18,17,25,31,30,27,37,43,33,24,19,28,19,31,29,33,20,34,28,19,31,19,32,24,27,35,30,18,23,29,25,29,34,37,38,29,34,39,27,34,32,35,25,34,25,21,31,32,32,30,30,25,52,28,35,28,28,22,38,26,25,36,28,27,34,18,37,24,24,36,35,41,32,35,33,32,29,21,31,42,36,28
